Initializing game...
Loading objects...
Creating object Asteroid at {X=80,Y=265}
Creating object Asteroid at {X=285,Y=216}
Creating object Asteroid at {X=7,Y=196}
Creating object Asteroid at {X=77,Y=372}
Creating object Asteroid at {X=449,Y=395}
Creating object Asteroid at {X=273,Y=492}
Creating object Asteroid at {X=752,Y=447}
Creating object Asteroid at {X=385,Y=432}
Creating object Asteroid at {X=686,Y=533}
Creating object Asteroid at {X=317,Y=191}
Creating object Asteroid at {X=585,Y=392}
Creating object Asteroid at {X=311,Y=175}
Creating object Asteroid at {X=381,Y=458}
Creating object Asteroid at {X=165,Y=278}
Creating object Asteroid at {X=256,Y=139}
Creating object Star at {X=487,Y=256}
Creating object Star at {X=130,Y=298}
Creating object Star at {X=187,Y=122}
Creating object Star at {X=667,Y=145}
Creating object Star at {X=718,Y=521}
Creating object Star at {X=140,Y=324}
Creating object Star at {X=105,Y=398}
Creating object Star at {X=303,Y=444}
Creating object Star at {X=583,Y=509}
Creating object Star at {X=32,Y=427}
Creating object Star at {X=390,Y=321}
Creating object Star at {X=217,Y=7}
Creating object Star at {X=97,Y=14}
Creating object Star at {X=746,Y=138}
Creating object Star at {X=189,Y=338}
Creating object Planet at {X=358,Y=325}
Creating object Sun at {X=106,Y=229}
Creating object Medkit at {X=350,Y=556}
Creating object Medkit at {X=695,Y=337}
Creating object Medkit at {X=183,Y=372}
Creating object Medkit at {X=202,Y=236}
Creating object Medkit at {X=488,Y=245}
Creating object Ship at {X=0,Y=300}
Creating object Bullet at {X=42,Y=294}
Creating object Bullet at {X=42,Y=294}
Creating object Bullet at {X=42,Y=284}
Creating object Bullet at {X=42,Y=274}
Creating object Bullet at {X=42,Y=264}
Creating object Bullet at {X=42,Y=254}
Creating object Bullet at {X=42,Y=234}
Creating object Bullet at {X=42,Y=224}
Creating object Bullet at {X=42,Y=214}
Creating object Bullet at {X=42,Y=194}
Creating object Bullet at {X=42,Y=184}
Creating object Bullet at {X=42,Y=174}
Creating object Bullet at {X=42,Y=184}
Creating object Bullet at {X=42,Y=194}
Creating object Bullet at {X=42,Y=214}
Creating object Bullet at {X=42,Y=224}
Creating object Bullet at {X=42,Y=234}
Creating object Bullet at {X=42,Y=254}
Creating object Bullet at {X=42,Y=264}
Creating object Bullet at {X=42,Y=274}
Creating object Bullet at {X=42,Y=284}
Creating object Bullet at {X=42,Y=284}
Creating object Bullet at {X=42,Y=284}
Creating object Bullet at {X=42,Y=294}
Creating object Bullet at {X=42,Y=304}
Creating object Bullet at {X=42,Y=314}
Creating object Bullet at {X=42,Y=324}
Creating object Bullet at {X=42,Y=344}
Creating object Bullet at {X=42,Y=354}
Creating object Bullet at {X=42,Y=364}
Creating object Bullet at {X=42,Y=374}
Creating object Bullet at {X=42,Y=394}
Creating object Bullet at {X=42,Y=394}
Creating object Bullet at {X=42,Y=414}
Creating object Bullet at {X=42,Y=424}
Creating object Bullet at {X=42,Y=434}
Creating object Bullet at {X=42,Y=444}
Creating object Bullet at {X=42,Y=454}
Creating object Bullet at {X=42,Y=464}
Creating object Bullet at {X=42,Y=484}
Creating object Bullet at {X=42,Y=504}
Creating object Bullet at {X=42,Y=504}
Creating object Bullet at {X=42,Y=494}
Creating object Bullet at {X=42,Y=484}
Creating object Bullet at {X=42,Y=474}
Creating object Bullet at {X=42,Y=454}
Creating object Bullet at {X=42,Y=444}
Creating object Bullet at {X=42,Y=434}
Creating object Bullet at {X=42,Y=424}
Creating object Bullet at {X=42,Y=404}
Creating object Bullet at {X=42,Y=394}
Creating object Bullet at {X=42,Y=384}
Creating object Bullet at {X=42,Y=374}
Creating object Bullet at {X=42,Y=364}
Creating object Bullet at {X=42,Y=354}
Creating object Bullet at {X=42,Y=334}
Creating object Bullet at {X=42,Y=324}
Creating object Bullet at {X=42,Y=314}
Creating object Bullet at {X=42,Y=304}
Creating object Bullet at {X=42,Y=294}
Creating object Bullet at {X=42,Y=284}
Creating object Bullet at {X=42,Y=274}
Creating object Bullet at {X=42,Y=254}
Creating object Bullet at {X=42,Y=244}
Creating object Bullet at {X=42,Y=244}
Creating object Bullet at {X=42,Y=234}
Creating object Bullet at {X=42,Y=214}
Creating object Bullet at {X=42,Y=204}
Creating object Bullet at {X=42,Y=194}
Creating object Bullet at {X=42,Y=264}
